"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SG.DMK.HLTH.FN.ZS","Gender","Women participating in own health care decisions (% of women age 15-49)","","Women Participating in own health care decisions is Percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in own health care","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women participating in own health care decisions is the number of currently married women aged 15-49 who say they alone or jointly with thier husband have the final say in own health care, expressed as percentage of currently married women aged 15-49 who have been interviewed and it's derived by dividing the number of currently married women aged 15-49 who responded they alone or jointly with thier husband have the final say in own health care by total number of currently married women age 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.HLTH.HB.ZS","Gender","Decision maker about a woman's own health care: mainly husband (% of women age 15-49)","","Decision maker about women own health care: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Own health care: mainly husband is the number of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the husband, expressed as percentage of currently married women aged 15-49 who have been interviewed .","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.HLTH.OT.ZS","Gender","Decision maker about a woman's own health care: other (% of women age 15-49)","","Decision maker about women own health care: other is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is recorded as 'other'","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Own health care: other  is the number of currently married women aged 15-49 for whom the decision maker for their own health care is registered as others, expressed as percentage of all interviewed currently married women aged 15-49.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.HLTH.SE.ZS","Gender","Decision maker about a woman's own health care: someone else (% of women age 15-49)","","Decision maker about women own health care: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly someone else","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Own health care: someone else is the number of currently married women aged 15-49 for whom the decision maker for their own health care is someone esle, expressed as percentage of all interviewed currently married women aged 15-49.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.HLTH.WF.ZS","Gender","Decision maker about a woman's own health care: mainly wife  (% of women age 15-49)","","Decision maker about women own health care: mainly wife  is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Own health care: mainly wife  is the number of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent, expressed as percentage of currently married women aged 15-49 who have been interviewed .","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.HLTH.WH.ZS","Gender","Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49)","","Decision maker about women own health care: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent and her husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Own health care: wife and husband jointly is the number of currently married women aged 15-49 for whom the decision maker for their own health care is mainly the respondent and her husband, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.NONE.FN.ZS","Gender","Women participating in none of the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)","","Women participating in none of the three decisions (own health care, major household purchases, and visiting family) is Percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in none of the three decisions (own health care, major household purchases, and visiting family)","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women participating in none of the three decisions (own health care, major household purchases, and visiting family) is the number of currently married women aged 15-49 who say they alone or jointly have the final say in none of the three decisions, expressed as percentage decisions by total number of currently married women age 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.FN.ZS","Gender","Women participating in making major household purchase decisions (% of women age 15-49)","","Women participating in making major household purchase decisions is Percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in making major household purchases","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women participating in making major household purchase decision is the number of currently married women aged 15-49 who say that they alone or jointly with thier husband have the final say in making major household purchases, expressed as percentage of currently married women aged 15-49 who have been interviewed and it's derived by dividing the number of currently married women aged 15-49 who responded they alone or jointly have the final say in making major household purchases by total number of currently married women age 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.HB.ZS","Gender","Decision maker about major household purchases: mainly husband (% of women age 15-49)","","Decision maker about ajor household purchases: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about major household purchases: mainly husband is the number of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the husband, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.OT.ZS","Gender","Decision maker about major household purchases: other (% of women age 15-49)","","Decision maker about major household purchases: other is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is recorded as 'other'","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about major household purchases: other is the number of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly recorded as 'other', expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.SE.ZS","Gender","Decision maker about major household purchases: someone else (% of women age 15-49)","","Decision maker about Major household purchases: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly someone else","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about major household purchases: someone else is the number of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly someone else, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.WF.ZS","Gender","Decision maker about major household purchases: mainly wife (% of women age 15-49)","","Decision maker about major household purchases: mainly wife is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about major household purchases: mainly wife is the number of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent, expressed as percentage of all interviewed currently married women aged 15-49.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.PRCH.WH.ZS","Gender","Decision maker about major household purchases: wife and husband jointly (% of women age 15-49)","","Decision maker about major household purchases: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent and her husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about major household purchases: wife and husband jointly is the number of currently married women aged 15-49 for whom the decision maker for major household purchases is mainly the respondent and her husband, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.FN.ZS","Gender","Women participating in decision of visits to family, relatives, friends (% of women age 15-49)","","Women participating in decision of visits to family, relatives, friends is Percentage of currently married women aged 15-49 who say that they alone or jointly have the final say in visits to family, relatives, friends","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women participating in decision of visits to family, relatives, friends is the number of currently married women aged 15-49 who say they alone or jointly with thier husband have the final say in visits to family, relatives, friends, expressed as percentage of currently married women aged 15-49 who have been interviewed and it's derived by dividing the number of currently married women aged 15-49 who responded they alone or jointly have the final say in visits to family, relatives, friends by total number of currently married women age 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.HB.ZS","Gender","Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49)","","Decision maker about a woman's visits to her family or relatives: mainly husband is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Visits to her family or relatives: mainly husband is the number of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the husband, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.OT.ZS","Gender","Decision maker about a woman's visits to her family or relatives: other (% of women age 15-49)","","Decision maker about a woman's visits to her family or relatives: other is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is recorded as 'other'","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Visits to her family or relatives: other is the number of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is recorded as 'other', expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.SE.ZS","Gender","Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49)","","Decision maker about a woman's visits to her family or relatives: someone else is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly someone else","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Visits to her family or relatives: someone else is the number of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly someone else, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.WF.ZS","Gender","Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49)","","Decision maker about a woman's visits to her family or relatives: mainly wife is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Visits to her family or relatives: mainly wife is the number of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.DMK.VISI.WH.ZS","Gender","Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49)","","Decision maker about Visits to her family or relatives: wife and husband jointly is Percentage of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is mainly the respondent and her husband","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Decision maker about Visits to her family or relatives: wife and husband jointly is the number of currently married women aged 15-49 for whom the decision maker for visits to her family or relatives is  mainly the respondent and her husband, expressed as percentage of currently married women aged 15-49 who have been interviewed.","Women‘s participation in decisions being made in their own households, that is households in which they usually live with their spouse and/or children with or without others, is widely accepted as a universal indicator of women‘s empowerment. The ability of women to make decisions that affect their personal circumstances is an essential element of their empowerment and serves as an important contributor to their overall development.","","","","Open",
"SG.GEN.MNST.ZS","Gender: Public life & decision making","Proportion of women in ministerial level positions (%)","","Women in ministerial level positions is the proportion of women in ministerial or equivalent positions (including deputy prime ministers) in the government. Prime Ministers/Heads of Government are included when they hold ministerial portfolios. Vice-Presidents and heads of governmental or public agencies are excluded.","","Annual","","","Weighted average","","","","Inter-Parliamentary Union (IPU). Women in Politics.","","","","","","Open",
"SG.GEN.PARL.ZS","Gender: Public life & decision making","Proportion of seats held by women in national parliaments (%)","","Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.","","Annual","","","Weighted average","The number of countries covered varies with suspensions or dissolutions of parliaments. There can be difficulties in obtaining information on by-election results and replacements due to death or resignation. These changes are ad hoc events which are more difficult to keep track of. By-elections, for instance, are often not announced internationally as general elections are. Parliaments vary considerably in their internal workings and procedures, however, generally legislate, oversee government and represent the electorate. In terms of measuring women's contribution to political decision making, this indicator may not be sufficient because some women may face obstacles in fully and efficiently carrying out their parliamentary mandate.

The data is compiled by the Inter-Parliamentary Union on the basis of information provided by National Parliaments. The percentages do not take into account the case of parliaments for which no data was available at that date. Information is available in all countries where a national legislature exists and therefore does not include parliaments that have been dissolved or suspended for an indefinite period.","","General cut off date is end-December. Relevance to gender indicator: Women are vastly underrepresented in decision making positions in government, although there is some evidence of recent improvement. Gender parity in parliamentary representation is still far from being realized. Without representation at this level, it is difficult for women to influence policy.","Inter-Parliamentary Union (IPU) (www.ipu.org).","The proportion of seats held by women in national parliaments is the number of seats held by women members in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats; it is derived by dividing the total number of seats occupied by women by the total number of seats in parliament.

National parliaments can be bicameral or unicameral. This indicator covers the single chamber in unicameral parliaments and the lower chamber in bicameral parliaments. It does not cover the upper chamber of bicameral parliaments. Seats are usually won by members in general parliamentary elections. Seats may also be filled by nomination, appointment, indirect election, rotation of members and by-election. Seats refer to the number of parliamentary mandates, or the number of members of parliament.","Despite much progress in recent decades, gender inequalities remain pervasive in many dimensions of life - worldwide. But while disparities exist throughout the world, they are most prevalent in developing countries. Gender inequalities in the allocation of such resources as education, health care, nutrition, and political voice matter because of the strong association with well-being, productivity, and economic growth. These patterns of inequality begin at an early age, with boys routinely receiving a larger share of education and health spending than do girls, for example.

Women are vastly underrepresented in decision-making positions in government, although there is some evidence of recent improvement. Gender parity in parliamentary representation is still far from being realized. Without representation at this level, it is difficult for women to influence policy.

A strong and vibrant democracy is possible only when parliament is fully inclusive of the population it represents. Parliaments cannot consider themselves inclusive, however, until they can boast the full participation of women. This is not just about women's right to equality and their contribution to the conduct of public affairs, but also about using women's resources and potential to determine political and development priorities that benefit societies and the global community.","","","","Open",
"SG.GEN.TECH.ZS","Gender: Participation & access","Female professional and technical workers (% of total)","","Female professional and technical workers refers to the share of professionals and technical workers who are female. Women's share of positions are defined according to the International Standard Classification of Occupations (ISCO-88) to include physical, mathematical and engineering science professionals (and associate professionals), life science and health professionals (and associate professionals), teaching professionals (and associate professionals) and other professionals and associate professionals.","","Annual","","","","","","","Gender, Institutions and Development Database, Organization for Economic Co-operation and Development (OECD), web site: http://www.oecd.org/document/16/0,3343,en_2649_33935_39323280_1_1_1_1,00.html.","","","","","","Open",
"SG.H2O.PRMS.HH.ZS","Health","Households with water on the premises (%)","","Percentage of households who have a water source on their premises","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.H2O.TL30.HH.ZS","Health","Households with water less than 30 minutes away round trip (%)","","Percentage of households who have a water source in less than 30 minutes away round trip","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.H2O.TM30.HH.ZS","Health","Households with water 30 minutes or longer away round trip (%)","","Percentage of households who have a water source 30 minutes or longer away round trip","","Annual","","","","","","","Demographic and Health Surveys (DHS)","","","","","","Open",
"SG.JOB.NOPN.EQ","Gender: Participation & access","Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)","","Non-pregnant and non-nursing women can do the same jobs as men indicates whether there are specific jobs that women explicitly or implicitly cannot perform except in limited circumstances. Both partial and full restrictions on women’s work are counted as restrictions. For example, if women are only allowed to work in certain jobs within the mining industry, e.g., as health care professionals within mines but not as miners, this is a restriction.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LAW.CHMR","Gender: Public life & decision making","Law prohibits or invalidates child or early marriage (1=yes; 0=no)","","Law prohibits or invalidates child or early marriage is whether there are provisions that prevent the marriage of girls, boys, or both before they reach the legal age of marriage or the age of marriage with consent, including, for example, a prohibition on registering the marriage or provisions stating that such a marriage is null and void.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LAW.EQRM.WK","Gender: Public life & decision making","Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)","","Law mandates equal remuneration for females and males for work of equal value is whether there is a law that obligates employers to pay equal remuneration to male and female employees who do work of equal value.“Remuneration” refers to the ordinary, basic or minimum wage or salary and any additional emoluments payable directly or indirectly, whether in cash or in kind, by the employer to the worker and arising out of the worker’s employment. “Work of equal value” refers not only to the same or similar jobs but also to different jobs of the same value.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LAW.LEVE.PU","Gender: Public life & decision making","Law mandates paid or unpaid maternity leave (1=yes; 0=no)","","Law mandates paid or unpaid maternity leave is whether there is a law mandating paid or unpaid maternity leave available only to the mother. Provisions for circumstantial leave by which an employee is entitled to a certain number of days of paid leave (usually fewer than five days) upon the birth of a child are considered paternity leave; even if the law is gender-neutral, such leave is not considered maternity leave if the law covers maternity leave elsewhere.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LAW.NODC.HR","Gender: Public life & decision making","Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)","","Law mandates nondiscrimination based on gender in hiring is whether the law specifically prevents or penalizes gender-based discrimination in the hiring process; the law may prohibit discrimination in employment on the basis of gender but be silent about whether job applicants are protected from discrimination. Hiring refers to the process of employing a person for wages and making a selection by presenting a candidate with a job offer. Job advertisements, selection criteria and recruitment, although equally important, are not considered “hiring” for purposes of this question.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LAW.OBHB.MR","Gender","Married women are required by law to obey their husbands (1=yes; 0=no)","","Married women are required by law to obey their husbands is whether there is an explicit provision stating that a married woman must obey her husband, or a provision states that disobedience toward her husband has legal ramifications for the wife, such as loss of maintenance.","","Annual","","","","","","","World Bank, Women, Business and the Law.","","","","","","Open",
"SG.LEG.DVAW","Gender: Public life & decision making","Legislation exists on domestic violence (1=yes; 0=no)","","Legislation exists on domestic violence is whether there is legislation addressing domestic violence: violence between spouses, within the family or members of the same household, or in interpersonal relationships, including intimate partner violence that is subject to criminal sanctions or provides for protection orders for domestic violence, or the legislation addresses “cruel, inhuman or degrading treatment” or “harassment” that clearly affects physical or mental health, and it is implied that such behavior is considered domestic violence.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.LEG.MRRP","Gender","Legislation explicitly criminalizes marital rape (1=yes; 0=no)","","Legislation explicitly criminalizes marital rape is whether there is legislation that explicitly criminalizes the act of marital rape by providing that rape or sexual assault provisions apply “irrespective of the nature of the relationship” between the perpetrator and complainant or by stating that “no marriage or other relationship shall constitute a defense to a charge of rape or sexual assault under the legislation”.","","Annual","","","","","","","World Bank, Women, Business and the Law.","","","","","","Open",
"SG.LEG.SXHR","Gender","Legislation specifically addresses sexual harassment (1=yes; 0=no)","Legislation specifically addresses sexual harassment is whether there is a law or specific provisions on sexual harassment; provisions may be general or apply only to employment.","Legislation specifically addresses sexual harassment is whether there is a law or specific provisions on sexual harassment; provisions may be general or apply only to employment. Legislation specifically addresses and protects against sexual harassment, including unwelcome sexual advances; requests for sexual favors; verbal or physical conduct or gestures of a sexual nature; annoyance, if understood to include harassment with sexual content; or any other behavior of a sexual nature that might reasonably be expected or be perceived to cause offense or humiliation to another, or sexual harassment is considered “discrimination,” and legislation protects against discrimination, or there is a provision protecting against sexual harassment in employment, including provisions on inducing indecent or lewd behavior coupled with financial or official dependence or authority, abuse of position or authority, or language that can be clearly interpreted to mean such dependence or abuse.","","Annual","","","","","","","World Bank, Women, Business and the Law.","","","","","","Open",
"SG.MMR.LEVE.EP","Gender: Public life & decision making","Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)","","Mothers are guaranteed an equivalent position after maternity leave is whether employers of women returning from maternity leave are legally obligated to provide them with an equivalent position after maternity leave. It takes into account paid and unpaid maternity leave and captures whether the employer has a legal obligation to reinstate the returning employee in an equivalent or better position and salary than the employee had pre-leave. Where the maternity leave regime explicitly states that the employee may not be indefinitely replaced, the answer is assumed to be “Yes.” Where the maternity leave regime explicitly establishes a suspension of the employee’s contract, the answer is assumed to be “Yes.” In economies that also have parental leave and the law guarantees return after the leave to the same or an equivalent position paid at the same rate but is silent on guaranteeing the same position after maternity leave, the answer is “Yes.” The answer is “N/A” if no paid or unpaid maternity leave is available.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.NOD.CONS","Gender: Public life & decision making","Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)","","Nondiscrimination clause mentions gender in the constitution is whether there is a nondiscrimination clause in the constitution which mentions gender. For the answer to be “Yes,” the constitution must use either the word discrimination or the word nondiscrimination or even when there is a “clawback” provision granting exceptions to the nondiscrimination clause for certain areas of the law, such as inheritance, family and customary law. The answer is “No” if there is no nondiscrimination provision, or the nondiscrimination language is present in the preamble but not in an article of the constitution, or there is a provision that merely stipulates that the sexes are equal, or the sexes have equal rights and obligations. The answer is ""N/A"" if there is no nondiscrimination provision.","","Annual","","","","","","","World Bank: Women, Business and the Law.","","","","","","Open",
"SG.OBT.IDCD.MR","Gender","Married women can obtain a national ID card in the same way as married men (1=yes; 0=no)","Married women can obtain a national ID card in the same way as married men is equality in the process for obtaining a national identity card by married woman compared to married man.","Married women can obtain a national ID card in the same way as married men is equality in the process for obtaining a national identity card by married woman compared to married man. The answer is “Yes” if there are no inequalities in the process for obtaining a national identity card. If married men must provide a marriage certificate or birth certificate as proof of name, whereas married women must provide a marriage certificate, the answer is still “Yes.” The answer is “No” if a married woman must provide a marriage certificate, but a married man need not, or a married woman, but not a married man, must provide additional signatures, such as those of the husband, father or guardian, or a married woman must indicate the name of her spouse, but a married man is not so required, or identity cards are optional for women, but required for men, or the identity card of a married woman displays the name of her spouse, but the identity card of a married man does not. The answer is “N/A” if there is no national identity card.","","Annual","","","","","","","World Bank, Women, Business and the Law.","","","","","","Open",
"SG.OWN.HSAJ.FE.Q1.ZS","Gender","Women who own a house both alone and jointly (% of women age 15-49): Q1 (lowest)","","Women who own house both alone and jointly (% of women age 15-49): Q1 (lowest) is the percentage of women age 15-49 who alone as well as jointly with someone else own a house which is legally registered with their name or cannot be sold without their signature. ""Both alone and jointly"" Implies a woman owns a house alone and another house jointly with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own house both alone and jointly is the number of women age 15-49 who say the type of houses they own are the one they own alone as well as the one they own jointly with someone else, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the house is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the house is recognized as hers and cannot be sold without her signature or equivalent. ‘House’ includes all dwelling types including apartments, duplexes, and houses that are semi-detached or detached, etc., as well as other types of dwellings that are specific to country.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
"SG.OWN.HSAJ.FE.Q2.ZS","Gender","Women who own a house both alone and jointly (% of women age 15-49): Q2","","Women who own house both alone and jointly (% of women age 15-49): Q2 is the percentage of women age 15-49 who alone as well as jointly with someone else own a house which is legally registered with their name or cannot be sold without their signature. ""Both alone and jointly"" Implies a woman owns a house alone and another house jointly with someone else. Each wealth quintile represents one fifth of households with quintile 1 being the poorest 20 percent of households and quintile 5 being the richest 20 percent of households.","","Annual","","","","","","","Demographic and Health Surveys (DHS)","Women who own house both alone and jointly is the number of women age 15-49 who say the type of houses they own are the one they own alone as well as the one they own jointly with someone else, expressed as percentage of women age 15-49 who have been interviewed. ‘Ownership’ implies that the house is legally registered in the woman’s name or, since official property records do not always exist or are not maintained, the house is recognized as hers and cannot be sold without her signature or equivalent. ‘House’ includes all dwelling types including apartments, duplexes, and houses that are semi-detached or detached, etc., as well as other types of dwellings that are specific to country.","Ownership of assets, particularly high-value assets, has many beneficial effects for households, including protection against financial ruin. For women in particular, asset ownership is a source of economic empowerment and provides protection in the case of marital dissolution or abandonment. There is increasing evidence that ownership of property by women has positive consequences for women’s empowerment, nutritional and health outcomes, and children’s schooling.","","","","Open",
